Season,playerId,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,GDP,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%
2023,19458,Cooper Hummel,SEA,3,4,3,0,0,0,0,0,0,0,1,3,0,0,0,0,0.25,0.75,0.333333333,0.25,0,0.25,0,0,0.007680489,-0.47969623,0.17397572100162506,5.914962043492806,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12282,Rougned Odor,SDP,23,26,18,2,1,1,0,0,0,4,8,9,0,0,0,0.111111111,0.307692307,0.346153846,0.888888888,0.384615384,0.166666666,0.55128205,0.055555555,0.222222222,2.6827508505190893,-0.485197828,0.2959046822327834,88.72116613,1.333333333,0.222222222,0.444444444,0.333333333,0.666666666,0,0,0.44444444,0.44444444,0.11111111,0.33333333,0.44444444,0.22222222
2023,18839,Josh Naylor,CLE,34,40,29,11,6,3,0,2,2,6,11,8,0,0,0,0.379310344,0.275,0.2,1.375,0.55,0.689655172,1.239655172,0.310344828,0.47368421,11.480135652825684,6.606368455693575,0.5172407165169716,241.66540871245962,1.142857142,0.285714285,0.38095238,0.333333333,0.142857142,0.285714285,0.25,0.66666667,0.19047619,0.14285714,0.14285714,0.47619048,0.38095238
2023,13897,Tyler Heineman,PIT,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142567571,-0.26441175,0,-100,1,0,1,0,0,0,0,1,0,0,0,0,1
2023,12775,Brad Miller,TEX,14,19,12,1,0,0,0,1,1,2,7,5,0,0,1,0.083333333,0.368421052,0.263157894,1.4,0.421052631,0.333333333,0.754385964,0.25,0,3.001283182876989,0.6862437642392366,0.36186401153865616,129.4458348206531,1.333333333,0,0.571428571,0.428571428,0.333333333,0.333333333,0,0.14285714,0.57142857,0.28571429,0.28571429,0.42857143,0.28571429
2023,15672,Austin Meadows,DET,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285135141,-0.528823501,0,-100,0,0,0,1,0.5,0,0,0,0,1,0.5,0.5,0
2023,14477,Jake Cave,PHI,24,30,19,5,3,1,0,1,1,2,11,7,0,0,0,0.263157894,0.366666666,0.233333333,1.571428571,0.533333333,0.47368421,1.007017543,0.210526316,0.363636363,6.976645977235757,3.321320579386674,0.4516799668471018,187.40482581831154,3,0.333333333,0.5,0.166666666,0,0.5,0,0.66666667,0.16666667,0.16666667,0,0.5,0.5
2023,21562,Romy Gonzalez,CHW,8,11,9,0,0,0,0,0,0,0,2,5,0,0,0,0,0.181818181,0.454545454,0.4,0.181818181,0,0.181818181,0,0,-0.412341733,-1.752627712,0.12652779709209094,-32.25461372,3,0,0.75,0.25,0,0,0,0.75,0,0.25,0.5,0.25,0.25
2023,16376,Michael Conforto,SFG,63,73,44,6,4,0,0,2,2,3,29,23,0,0,0,0.136363636,0.397260273,0.315068493,1.260869565,0.479452054,0.272727272,0.752179326,0.136363636,0.210526315,12.613765915542555,3.7191407807764527,0.3797194639297381,143.44198795422236,1.857142857,0.047619047,0.619047619,0.333333333,0.142857142,0.285714285,0.076923076,0.23809524,0.66666667,0.0952381,0.33333333,0.28571429,0.38095238
2023,16337,Nick Gordon,MIN,4,4,3,1,1,0,0,0,0,1,1,1,0,0,0,0.333333333,0.25,0.25,1,0.5,0.333333333,0.833333333,0,0.5,0.7406312254797923,0.25325450576658126,0.39460979402065277,155.8525704741365,1,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0.5
2023,17954,Sam Hilliard,ATL,12,17,14,1,0,1,0,0,0,0,3,11,0,0,0,0.071428571,0.176470588,0.647058823,0.272727272,0.235294117,0.142857142,0.378151259,0.071428571,0.333333333,0.34315439109408036,-1.728196668,0.1959688838790445,15.095835111003757,3,0,1,0,0,0,0.333333333,0.33333333,0.66666667,0,0,1,0
2023,14162,Carlos Correa,MIN,63,84,50,6,4,2,0,0,0,4,34,30,0,0,1,0.12,0.404761904,0.357142857,1.133333333,0.476190476,0.16,0.636190476,0.04,0.3,12.672354805508201,2.437443692,0.35331390443302335,127.2294842154903,1.571428571,0.1,0.55,0.35,0.571428571,0,0,0.5,0.25,0.25,0.4,0.4,0.2
2023,27676,Vinnie Pasquantino,KCR,25,31,20,5,3,2,0,0,0,1,11,6,0,0,2,0.25,0.354838709,0.193548387,1.833333333,0.516129032,0.35,0.866129032,0.1,0.357142857,6.202617560533282,2.4254479827558963,0.4125827531660757,162.83422881749308,1.25,0.357142857,0.357142857,0.285714285,0,0,0.2,0.35714286,0.21428571,0.42857143,0.14285714,0.64285714,0.21428571
2023,13770,Rob Refsnyder,BOS,31,42,23,4,3,1,0,0,0,6,19,7,0,0,0,0.173913043,0.452380952,0.166666666,2.714285714,0.547619047,0.217391304,0.765010351,0.043478261,0.25,8.225029682,3.107574125211422,0.4074649058637165,157.285443,0.714285714,0.25,0.3125,0.4375,0.428571428,0,0.2,0.4375,0.375,0.1875,0.25,0.5625,0.1875
